"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-07-31,84883,"61285","IL",,"Carroll","Thomson",14506,100900,-0.00591133004926108,-0.0316698656429942,0.083780880773362,,,"2007-09","2007-Q3",109300,-0.0768526989935956,"2007-04"
2018-07-31,86561,"64724","MO",,"Saint Clair","Appleton City",14507,107500,0.012241054613936,0.0103383458646617,0.0643564356435644,,,"2018-07","2018-Q3",107500,0,"2018-07"
2018-07-31,97511,"94020","CA","San Francisco","San Mateo","La Honda",14508,924700,0.0258486798313734,0.0768603703272388,0.241874832124631,,,"2018-07","2018-Q3",924700,0,"2018-07"
2018-07-31,58892,"02763","MA","Providence","Bristol","North Attleboro",14509,397600,0.002268716914545,0.0140270339199184,0.057165647434193,,,"2005-05","2005-Q2",401100,-0.0087260034904014,"2005-03"
2018-07-31,59157,"03588","NH","Berlin","Coos","Milan",14510,132000,0.0193050193050193,0.0443037974683544,0.0200927357032458,,,"2007-03","2007-Q1",137000,-0.0364963503649635,"2006-06"
2018-07-31,63157,"13493","NY","Syracuse","Oswego","Williamstown",14511,84800,-0.00352526439482961,0.013142174432497,0.0216867469879518,,,"2018-06","2018-Q2",85100,-0.00352526439482961,"2018-05"
2018-07-31,64194,"15622","PA","Pittsburgh","Fayette","Saltlick",14512,147800,0.0013550135501355,0.00681198910081744,0.0314026517794836,,,"2017-04","2017-Q2",155600,-0.0501285347043702,"2017-02"
2018-07-31,64762,"16838","PA","DuBois","Clearfield","Penn",14513,74100,0.0040650406504065,0.0349162011173184,0.102678571428571,,,"2018-07","2018-Q3",74100,0,"2018-07"
2018-07-31,77231,"44613","OH","Canton","Stark","Brewster",14514,100000,0.0214504596527068,0.0482180293501048,0.251564455569462,,,"2018-07","2018-Q3",100000,0,"2018-07"
2018-07-31,59273,"03886","NH",,"Carroll","Tamworth",14515,180200,0.0072666294019005,0.0146396396396396,0.0713436385255648,,,"2006-11","2006-Q4",182800,-0.0142231947483589,"2005-11"
2018-07-31,62909,"13034","NY","Auburn","Cayuga","Aurelius",14516,140200,0.00646087580760948,0.0256035113386979,0.0137382501807664,,,"2018-07","2018-Q3",140200,0,"2018-07"
2018-07-31,64796,"16878","PA","DuBois","Clearfield","Boggs",14517,80800,0.00497512437810945,0.0332480818414322,0.11448275862069,,,"2018-07","2018-Q3",80800,0,"2018-07"
2018-07-31,81355,"53529","WI","Madison","Dane","Dane",14518,289100,-0.00138169257340242,0.00731707317073171,0.027363184079602,,,"2018-06","2018-Q2",289500,-0.00138169257340242,"2018-06"
2018-07-31,91135,"75932","TX","Beaumont","Newton","Burkeville",14519,143500,0.0199004975124378,0.0598227474150665,0.0996168582375479,,,"2018-07","2018-Q3",143500,0,"2018-07"
2018-07-31,96639,"92091","CA","San Diego","San Diego","Rancho Santa Fe",14520,2198300,-0.0047987686178641,-0.0170363083527097,0.00209691388977527,,,"2018-03","2018-Q1",2238400,-0.0179145818441744,"2018-01"
2018-07-31,78334,"46914","IN","Peru","Miami","Bunker Hill",14521,101200,0.010989010989011,0.0574712643678161,0.238678090575275,,,"2008-01","2008-Q1",103600,-0.0231660231660232,"2006-11"
2018-07-31,82566,"56026","MN","Owatonna","Steele","Ellendale",14522,143600,-0.00554016620498615,-0.0197952218430034,0.0191625266146203,,,"2018-04","2018-Q2",146500,-0.0197952218430034,"2018-02"
2018-07-31,63766,"14838","NY","Elmira","Chemung","Erin",14523,120100,0.00670578373847443,0.0160744500846024,0.0742397137745975,,,"2018-07","2018-Q3",120100,0,"2018-07"
2018-07-31,82675,"56171","MN",,"Martin","Sherburn",14524,94600,0.00745473908413206,0.0260303687635575,0.0617283950617284,,,"2018-07","2018-Q3",94600,0,"2018-07"
2018-07-31,92819,"79086","TX","Dumas","Moore","Sunray",14525,95800,-0.0082815734989648,-0.0204498977505112,0.107514450867052,,,"2018-05","2018-Q2",97900,-0.0214504596527068,"2018-01"
2018-07-31,65228,"17864","PA","Selinsgrove","Snyder","Union",14526,145100,-0.00752393980848153,-0.0115803814713896,-0.0242098184263618,,,"2008-07","2008-Q3",172600,-0.159327925840093,
2018-07-31,58250,"01081","MA","Springfield","Hampden","Wales",14527,206700,0.00632911392405063,0.0202369200394867,0.0948093220338983,,,"2005-10","2005-Q4",210900,-0.0199146514935989,"2005-06"
2018-07-31,73470,"35463","AL","Tuscaloosa","Tuscaloosa","Fosters",14528,138200,0.0139398385913426,0.0390977443609023,0.0968253968253968,,,"2015-09","2015-Q3",144000,-0.0402777777777778,"2015-03"
2018-07-31,92231,"78056","TX","San Antonio","Medina","Mico",14529,321900,-0.00525339925834363,-0.0206875570428963,-0.140912730184147,,,"2017-09","2017-Q3",378900,-0.150435471100554,"2014-07"
2018-07-31,70617,"29635","SC","Greenville","Greenville","Cleveland",14530,199100,0.0101471334348047,0.0478947368421053,0.223724646588814,,,"2018-07","2018-Q3",199100,0,"2018-07"
