Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
7/31/2018,65944,19465,PA,Philadelphia,Chester,North Coventry,6576,279500,0.001074499,0.013783098,0.052334337,,,2006-08,2006-Q3,292500,-0.044444444,2005-12
7/31/2018,72681,33565,FL,Tampa,Hillsborough,Plant City,6577,254300,0.007527734,0.011535402,0.073448713,,,2006-09,2006-Q3,264700,-0.039289762,2006-05
7/31/2018,63963,15232,PA,Pittsburgh,Allegheny,Pittsburgh,6578,387300,0.004148302,0.014139827,0.074937552,,,2018-07,2018-Q3,387300,0,2018-07
7/31/2018,91050,75707,TX,Tyler,Smith,Tyler,6579,182800,0.004395604,0.013303769,0.053602305,,,2018-07,2018-Q3,182800,0,2018-07
7/31/2018,69625,27948,NC,Kill Devil Hills,Dare,Kill Devil Hills,6580,264400,0.009160305,0.031201248,0.076109076,,,2006-03,2006-Q1,309000,-0.14433657,2005-07
7/31/2018,92790,79045,TX,Hereford,Deaf Smith,Hereford,6581,101200,0.00098912,0.008973081,0.042224511,,,2018-07,2018-Q3,101200,0,2018-07
7/31/2018,71921,32310,FL,Tallahassee,Leon,Tallahassee,6582,82900,0.008515815,0.037546934,0.057397959,,,2007-09,2007-Q3,125800,-0.341017488,2004-05
7/31/2018,96490,91746,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,West Puente Valley,6583,474900,0.002744932,0.009780991,0.059335267,,,2018-07,2018-Q3,474900,0,2018-07
7/31/2018,66245,20151,VA,Washington,Loudoun,Chantilly,6584,516900,0.000774443,0.00271581,0.034834835,,,2005-11,2005-Q4,554500,-0.067808837,2005-05
7/31/2018,79852,49660,MI,,Manistee,Manistee,6585,123600,0.003246753,0.006514658,0.001620746,,,2018-01,2018-Q1,125200,-0.012779553,2017-10
7/31/2018,90714,75134,TX,Dallas-Fort Worth,Dallas,Lancaster,6586,155500,0.003225806,0.017670157,0.11150822,,,2018-07,2018-Q3,155500,0,2018-07
7/31/2018,70670,29693,SC,Seneca,Oconee,Westminster,6587,128200,0.00312989,0.014240506,0.063900415,,,2018-07,2018-Q3,128200,0,2018-07
7/31/2018,63821,14904,NY,Elmira,Chemung,Elmira,6588,61300,-0.001628664,-0.001628664,0.006568144,,,2018-02,2018-Q1,61900,-0.009693053,2017-10
7/31/2018,58900,2777,MA,Providence,Bristol,Swansea,6589,289900,0.002073972,0.011867365,0.062293881,,,2005-06,2005-Q2,296300,-0.02159973,2005-01
7/31/2018,66583,20724,MD,Washington,Prince Georges,Laurel,6590,312700,-0.001596424,0,0.030313015,,,2007-02,2007-Q1,373100,-0.161886894,2005-03
7/31/2018,66138,20015,DC,Washington,District of Columbia,Washington,6591,990200,0.006300813,0.008863984,0.001517144,,,2017-03,2017-Q1,994400,-0.004223652,2017-01
7/31/2018,93761,81321,CO,,Montezuma,Cortez,6592,184100,0.006560962,0.02849162,0.06416185,,,2018-07,2018-Q3,184100,0,2018-07
