Zip,City,State,Metro,CountyName,SizeRank,Latitude,Longitude
20607,Accokeek,MD,Washington,Prince Georges,7919,38.666071,-76.998396
60305,River Forest,IL,Chicago,Cook,7919,41.89781,-87.81395
60097,Wonder Lake,IL,Chicago,McHenry,7921,42.357046,-88.340239
48604,Saginaw,MI,Saginaw,Saginaw,7922,43.482403,-83.969391
78163,Bulverde,TX,San Antonio,Comal,7922,29.776691,-98.46263
97457,Myrtle Creek,OR,Roseburg,Douglas,7922,43.02012,-123.29312
31411,Skidaway Island,GA,Savannah,Chatham,7925,31.934938,-81.047054
61727,Clinton,IL,Bloomington,Dewitt,7926,40.152822,-88.947118
33954,Port Charlotte,FL,Punta Gorda,Charlotte,7927,27.019741,-82.123194
83669,Star,ID,Boise City,Ada,7928,43.678556,-116.49336
72086,Lonoke,AR,Little Rock,Lonoke,7929,34.81247,-91.905399
11753,Jericho,NY,New York,Nassau,7930,40.789722,-73.539911
36093,Wetumpka,AL,Montgomery,Elmore,7931,32.562179,-86.099371
59457,Lewistown,MT,,Fergus,7932,47.06247,-109.42824
13350,Herkimer,NY,Utica,Herkimer,7933,43.026867,-74.933404
70647,Iowa,LA,Lake Charles,Calcasieu,7934,30.23687,-93.01376
7922,Berkeley Heights,NJ,New York,Union,7935,40.675451,-74.422196
11577,Roslyn Heights,NY,New York,Nassau,7936,40.77877,-73.63963
39111,Magee,MS,Jackson,Simpson,7937,31.899245,-89.768566
24266,Lebanon,VA,,Russell,7938,36.908553,-82.053655
31639,Nashville,GA,,Berrien,7938,31.199826,-83.218233
45122,Goshen,OH,Cincinnati,Clermont,7938,40.625781,-85.749378
95726,Pollock Pines,CA,Sacramento,El Dorado,7941,38.766276,-120.481278
87801,Socorro,NM,,Socorro,7942,34.0584,-106.89142
13619,Carthage,NY,Watertown,Jefferson,7943,43.97812,-75.60936
35058,Cullman,AL,Cullman,Cullman,7943,34.209766,-86.752029
19952,Harrington,DE,Dover,Kent,7945,38.912195,-75.611322
54457,Nekoosa,WI,,Adams,7945,44.299968,-89.920843
63390,Wright City,MO,St. Louis,Warren,7945,38.797733,-91.048471
27523,Apex,NC,Raleigh,Wake,7948,35.773618,-78.956926
31535,Douglas,GA,Douglas,Coffee,7949,31.461219,-82.867955
60171,River Grove,IL,Chicago,Cook,7949,41.923168,-87.83931
72949,Ozark,AR,,Franklin,7949,35.48703,-93.8277
7438,Jefferson,NJ,New York,Morris,7952,41.057254,-74.464788
29356,Landrum,SC,Greenville,Greenville,7953,35.17511,-82.18928
14001,Newstead,NY,Buffalo,Erie,7954,42.764119,-78.519947
10918,Chester,NY,New York,Orange,7955,41.36259,-74.27126
55051,Mora,MN,,Kanabec,7955,45.918782,-93.297792
93546,Mammoth Lakes,CA,,Mono,7955,37.609434,-118.865636
31793,Tifton,GA,Tifton,Tift,7958,31.462512,-83.593543
97503,White City,OR,Medford,Jackson,7958,42.537028,-122.883923
28777,Spruce Pine,NC,,Mitchell,7960,35.91464,-82.07647
27958,Moyock,NC,Virginia Beach,Currituck,7961,36.399081,-76.064702
55445,Brooklyn Park,MN,Minneapolis-St Paul,Hennepin,7962,45.093178,-93.067331
78257,San Antonio,TX,San Antonio,Bexar,7962,29.660485,-98.583454
8106,Audubon,NJ,Philadelphia,Camden,7964,39.89095,-75.07295
38570,Livingston,TN,Cookeville,Overton,7965,36.38519,-85.329392
24522,Appomattox,VA,Lynchburg,Appomattox,7966,37.356134,-78.848202
31820,Midland,GA,Columbus,Muscogee,7967,32.565782,-84.850953
74010,Bristow,OK,Tulsa,Creek,7967,35.835606,-96.303922
28166,Troutman,NC,Charlotte,Iredell,7969,35.679407,-80.898817
34229,Osprey,FL,North Port-Sarasota-Bradenton,Sarasota,7969,27.19137,-82.47993
31316,Ludowici,GA,Hinesville,Long,7971,31.780996,-81.773916
24504,Lynchburg,VA,Lynchburg,Lynchburg City,7972,37.365249,-79.048192
35146,Springville,AL,Birmingham,Saint Clair,7973,33.7751,-86.47165
39817,Bainbridge,GA,Bainbridge,Decatur,7974,30.943525,-84.602003
38058,Munford,TN,Memphis,Tipton,7975,35.44925,-89.81508
87059,Tijeras,NM,Albuquerque,Bernalillo,7975,35.035534,-106.275342
70669,Westlake,LA,Lake Charles,Calcasieu,7977,30.240705,-93.275454
73055,Marlow,OK,Duncan,Stephens,7978,34.640543,-97.908875
34688,Tarpon Springs,FL,Tampa,Pinellas,7979,28.147125,-82.678972
46540,Middlebury,IN,Elkhart,Elkhart,7980,41.67533,-85.7061
33785,Indian Rocks Beach,FL,Tampa,Pinellas,7981,27.886757,-82.843525
44074,Oberlin,OH,Cleveland,Lorain,7981,41.294649,-82.227628
60534,Lyons,IL,Chicago,Cook,7983,41.81337,-87.81811
85615,Hereford,AZ,Sierra Vista,Cochise,7983,31.411921,-110.158573
7458,Upper Saddle River,NJ,New York,Bergen,7985,41.05843,-74.098476
69001,McCook,NE,,Red Willow,7986,40.207969,-100.620628
78063,Pipe Creek,TX,San Antonio,Bandera,7986,29.67956,-98.948428
7456,Ringwood,NJ,New York,Passaic,7988,41.110445,-74.293271
7442,Pompton Lakes,NJ,New York,Passaic,7989,40.999597,-74.297725
24605,Bluefield,VA,Bluefield,Tazewell,7990,37.25262,-81.27121
25143,Nitro,WV,Charleston,Kanawha,7990,38.41481,-81.84402
25541,Milton,WV,Huntington,Cabell,7990,38.530371,-82.070164
47348,Hartford City,IN,,Blackford,7993,40.472672,-85.326447
21090,Linthicum Heights,MD,Baltimore,Anne Arundel,7994,39.20344,-76.66219
35824,Huntsville,AL,Huntsville,Madison,7994,34.645603,-86.752294
73601,Clinton,OK,Weatherford,Custer,7996,35.51561,-98.96731
24211,Abingdon,VA,Kingsport,Washington,7997,36.66726,-81.964801
2093,Wrentham,MA,Boston,Norfolk,7998,42.054311,-71.371169
32038,Fort White,FL,Lake City,Columbia,7999,29.92329,-82.71373
19609,West Wyomissing,PA,Reading,Berks,8000,40.324537,-75.99077
64504,Saint Joseph,MO,St. Joseph,Buchanan,8000,39.687683,-94.899901
38201,Mc Kenzie,TN,,Carroll,8002,36.093397,-88.647557
78721,Austin,TX,Austin,Travis,8002,30.268684,-97.684781
93543,Littlerock,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,8004,34.52279,-117.98732
37757,Jacksboro,TN,Knoxville,Campbell,8005,36.307449,-84.15575
21853,Princess Anne,MD,Salisbury,Somerset,8006,38.200553,-75.75292
65043,Holts Summit,MO,Jefferson City,Callaway,8006,38.658869,-92.110858
27376,Seven Lakes,NC,Pinehurst-Southern Pines,Moore,8008,35.220497,-79.630036
45050,Monroe,OH,Cincinnati,Butler,8008,39.448492,-84.374549
77094,Houston,TX,Houston,Harris,8008,29.769285,-95.681292
65711,Mountain Grove,MO,,Wright,8011,37.13061,-92.26349
7035,Lincoln Park,NJ,New York,Morris,8012,40.926637,-74.303093
21787,Taneytown,MD,Baltimore,Carroll,8012,39.657449,-77.169055
70774,Saint Amant,LA,Baton Rouge,Ascension,8012,30.098332,-90.948004
81122,Bayfield,CO,Durango,La Plata,8012,37.22556,-107.59811
20794,Jessup,MD,Baltimore,Howard,8016,39.155266,-76.813394
99518,Anchorage,AK,Anchorage,Anchorage,8017,61.157813,-149.894338
89143,Las Vegas,NV,Las Vegas,Clark,8018,36.322319,-115.293151
19317,Chadds Ford,PA,Philadelphia,Delaware,8019,39.865567,-75.557698
