Zip,City,State,Metro,CountyName,SizeRank,Latitude,Longitude,ForecastYoYPctChange,MedianPrice,Zhvi,MoM,QoQ,YoY,PeakZHVI,PctFallFromPeak,PriceToRentRatio,MarketHealthIndex,SellForGain,NegativeEquity,Delinquency,DaysOnMarket,MedianPricePerSqft
80537,Loveland,CO,Fort Collins,Larimer,1007,40.364469,-105.179966,5.825613079,380000,330300,0.003646308,0.019129898,0.072054528,330300,0,17.01,8.91805997,95.74,0.040899157,0.003816794,48,238.9705882
80538,Loveland,CO,Fort Collins,Larimer,676,40.469459,-105.053475,5.042621987,360432,340200,-0.000587544,0.010695187,0.058823529,340400,-0.000587544,17.04,8.631338953,100,0.041611972,0.009463722,49,238.4935035
8054,Mt Laurel,NJ,Philadelphia,Burlington,848,39.955912,-74.91731,5.724595603,244950,241100,0.005421184,0.010901468,0.016441821,282100,-0.145338532,10.68,3.426834324,70.97,0.137250209,0.039232781,92,142.9768485
80540,Lyons,CO,Boulder,Boulder,9331,40.189788,-105.35528,7.253826778,647000,516100,0.004671988,0.02645187,0.121956522,516100,0,20.57,9.859748515,100,0.029739777,0,69.5,350.9944786
80543,Milliken,CO,Greeley,Weld,9250,40.387381,-104.841349,4.202747989,314500,298400,0.005390836,0.02790217,0.105594665,298400,0,14.96,9.618626503,100,0.025547445,0,48.5,220.0719837
80547,Timnath,CO,Fort Collins,Larimer,9891,40.52915,-104.98525,5.106658571,520000,494100,0.007134121,0.025742163,0.053293541,494100,0,18.48,9.724333287,100,0.059011164,0,119,195.3214396
80549,Wellington,CO,Fort Collins,Larimer,7819,40.795455,-105.085627,6.598461538,355000,325000,0.004016064,0.018808777,0.069430734,325000,0,16.54,7.804338814,100,0.047477745,0.0125,46,201.3963101
8055,Medford,NJ,Philadelphia,Burlington,3838,39.90095,-74.8235,4.068501171,379999,341600,0.000585823,0.00915805,0.024595081,394800,-0.134751773,12.09,0.415918198,84,0.094597309,0.048832272,96.5,159.5224074
80550,Windsor,CO,Greeley,Weld,3697,40.484657,-104.900983,2.603733333,394300,375000,0.001870158,0.006711409,0.048071548,375000,0,16.15,6.834323615,97.3,0.039306847,0,55,198.7282735
8057,Moorestown-Lenola,NJ,Philadelphia,Burlington,5535,39.96706,-74.94267,2.624129409,624950,445100,-0.000224618,0.004967261,-0.002465262,496600,-0.103705195,12.61,1.928285201,82.35,0.089735099,0.044280443,123,211.7302248
