RegionType,RegionName,City,State,Metro,CBSATitle,SizeRank,MarketHealthIndex,SellForGain,PrevForeclosed,ForeclosureRatio,ZHVI,MoM,YoY,ForecastYoYPctChange,StockOfREOs,NegativeEquity,Delinquency,DaysOnMarket
Zip,90240,Downey,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,7.31518585,100,6.25,0.8955,600400,-0.033300033,4.928346732,0.058089607,,0.077844311,0.019230769,68.5
Zip,90241,Downey,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,7.831283681,100,7.7273,1.7699,591000,0.2034588,8.879882093,0.069453469,,0.074242918,0.039473684,71
Zip,90242,Downey,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,3.160149233,93.75,,3.8833,522700,0.15328607,5.874012558,0.064071169,,0.060562156,0.04784689,54
Zip,90245,El Segundo,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,8.658974713,100,,,1256000,0.447856686,8.117414134,0.048832006,,0.021347565,0.03125,51
Zip,90247,Gardena,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,9.150891253,100,2.7893,0.8714,508300,0.177374852,9.335340934,0.061176471,,0.04942602,0.04516129,58
Zip,90248,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,5.517479619,85.71,,,567200,0.105894811,7.403900776,0.052901975,,0.047877145,0.037735849,59
Zip,90249,Gardena,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,4.132237115,85.71,4.1666,2.3592,548900,-0.091008373,3.820692264,0.05143742,,0.041608392,0.042016807,54
Zip,90250,Hawthorne,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,8.950531988,100,2.3594,0.7831,623300,0.48363695,8.174245054,0.047604685,,0.047868623,0.02189781,45.5
Zip,90254,Hermosa Beach,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,8.923587122,100,,,1675500,-0.035797387,4.100652377,0.028488212,,0.027319588,0,69
Zip,90255,Huntington Park,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,5.223849661,60,,1.8423,424100,0.023584906,7.150075796,0.083400141,,0.067317073,0.033816425,57
Zip,90260,Lawndale,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,8.759154346,100,,,572400,0.262743037,5.027522936,0.068218029,,0.058230683,0.009615385,57
Zip,90262,Lynwood,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,6.595965179,100,16.875,,418100,-0.047812575,5.26183283,0.070758192,,0.061865407,0.015267176,81
Zip,90265,Malibu,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,7.847865137,92.86,1.3846,1.4005,2970100,-0.006733327,8.595978062,0.029304401,,0.020053476,0.066666667,173
Zip,90266,Manhattan Beach,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,5.890562388,100,,,2482800,-0.265124126,4.240490385,-0.022542694,,0.018370607,0.028985507,76
Zip,90270,Maywood,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,9.309105983,100,,,409900,0.122129946,5.972078594,0.07826787,,0.062206573,0,57
Zip,90272,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,8.113859334,92.86,,,3062700,-0.094598121,8.341292582,0.023253992,,0.011272727,0,67
Zip,90274,Palos Verdes Estates,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,4.365759293,91.3,,,1761900,-0.782745805,-0.55875381,0.014680742,,0.019290604,0,64
Zip,90275,Rancho Palos Verdes,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,5.156142048,94.44,,0.4326,1307900,-0.441501104,0.453149002,0.027075464,,0.022467631,0.016949153,56.5
Zip,90277,Redondo Beach,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,8.368108332,100,,,1234500,-0.210168943,4.814060112,0.014439854,,0.028437255,0,60
Zip,90278,Redondo Beach,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,9.312560453,100,0.9616,0.4906,972100,0.051461507,5.962502725,0.036363543,,0.031828275,0,44
Zip,90280,South Gate,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,3.714246235,93.33,8.6057,0.8441,427100,-0.070191858,5.171140113,0.067998127,,0.062204082,0.034120735,61.5
Zip,90290,Topanga,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,5.282575653,100,,6.1805,1164900,-0.622760621,7.84114053,0.032910121,,0.034482759,0.034482759,57
Zip,90291,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,9.208235457,94.12,2.0833,1.389,2015600,0.079443893,5.022926219,0.042140802,,0.015523933,0,83.5
Zip,90292,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,9.067293077,96.3,2.6616,,1063700,0.51975052,8.110580344,0.059416189,,0.059326563,0,54
Zip,90293,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,7.785684676,100,3.8889,,760500,-0.314589068,9.251544318,0.042060487,,0.051589682,0,46.5
Zip,90301,Inglewood,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,9.206853669,100,,,479400,0.188087774,12.72043264,0.0471068,,0.048492017,0.024390244,65
Zip,90302,Inglewood,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,6.698217493,100,,1.5982,539200,-0.111152279,22.04617474,0.005506306,,0.050499445,0.021978022,51.5
Zip,90303,Inglewood,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,8.721846069,100,,,559500,0.17905103,11.32113012,0.055050938,,0.037140855,0.075471698,65
Zip,90304,Inglewood,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,9.722951499,100,,3.4341,499600,0.40192926,12.34540139,0.059403523,,0.048387097,0,65
Zip,90305,Inglewood,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,8.968495233,100,,,586800,0.427862399,10.44607566,0.047719836,,0.046218487,0.050505051,65
Zip,90402,Santa Monica,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,8.617521072,100,,,3884600,-0.123412352,5.296541256,0.014042887,,0.019553073,0,57
Zip,90403,Santa Monica,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,9.074892911,100,2.3809,,1362000,-0.153947658,7.067054477,0.044795888,,0.031396126,0.021276596,58.5
Zip,90404,Santa Monica,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,9.816913086,100,,,989700,0.16192693,10.4822505,0.053013034,,0.039014374,0,57
Zip,90405,Santa Monica,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,9.233798535,100,3.8462,,1831300,0.010922396,7.005960033,0.043400317,,0.026852312,0,53
